Name,Party
עבדאללה אבו מערוף,הרשימה המשותפת
טלב אבו עראר,הרשימה המשותפת
אורי יהודה אריאל,הבית היהודי
אלי בן-דהן,הבית היהודי
נפתלי בנט,הבית היהודי
מרדכי יוגב,הבית היהודי
שולי מועלם-רפאלי,הבית היהודי
ניסן סלומינסקי,הבית היהודי
בצלאל סמוטריץ,הבית היהודי
איילת שקד,הבית היהודי
אבי וורצמן,הבית היהודי
ינון מגל,הבית היהודי
יולי יואל אדלשטיין,הליכוד
אמיר אוחנה,הליכוד
זאב אלקין,הליכוד
דוד אמסלם,הליכוד
אופיר אקוניס,הליכוד
גלעד ארדן,הליכוד
זאב בנימין  בגין,הליכוד
נאוה בוקר,הליכוד
דוד ביטן,הליכוד
ענת ברקו,הליכוד
יהודה יהושע גליק,הליכוד
גילה גמליאל,הליכוד
אבי (משה) דיכטר,הליכוד
צחי הנגבי,הליכוד
שרן השכל,הליכוד
מכלוף מיקי זוהר,הליכוד
ציפי חוטובלי,הליכוד
אורן אסף חזן,הליכוד
חיים כץ,הליכוד
ישראל כץ,הליכוד
יריב לוין,הליכוד
אוסנת הילה מארק,הליכוד
ירון מזוז,הליכוד
אברהם נגוסה,הליכוד
בנימין נתניהו,הליכוד
נורית קורן,הליכוד
יואב קיש,הליכוד
איוב קרא,הליכוד
מירי רגב,הליכוד
יובל שטייניץ,הליכוד
משה יעלון,הליכוד
סילבן שלום,הליכוד
דני דנון,הליכוד
ז`קי לוי,הליכוד
מיכל בירן,המחנה הציוני
איל בן-ראובן,המחנה הציוני
יחיאל חיליק בר,המחנה הציוני
איתן ברושי,המחנה הציוני
עמר בר-לב,המחנה הציוני
יואל חסון,המחנה הציוני
רוברט טיבייב,המחנה הציוני
יוסי יונה,המחנה הציוני
שלי יחימוביץ`,המחנה הציוני
איתן כבל,המחנה הציוני
יעל כהן פארן,המחנה הציוני
ציפי לבני,המחנה הציוני
משה מזרחי,המחנה הציוני
מרב מיכאלי,המחנה הציוני
איילת נחמיאס ורבין,המחנה הציוני
קסניה סבטלובה,המחנה הציוני
רויטל סויד,המחנה הציוני
סאלח סעד,המחנה הציוני
לאה פדידה,המחנה הציוני
עמיר פרץ,המחנה הציוני
מיקי רוזנטל,המחנה הציוני
נחמן שי,המחנה הציוני
איציק שמולי,המחנה הציוני
סתיו שפיר,המחנה הציוני
יצחק הרצוג,המחנה הציוני
אראל מרגלית,המחנה הציוני
מנואל טרכטנברג,המחנה הציוני
דניאל עטר,המחנה הציוני
זוהיר בהלול,המחנה הציוני
טלב אבו עראר,הרשימה המשותפת
ניבין אבו רחמון,הרשימה המשותפת
ג'מעה  אזברגה,הרשימה המשותפת
סעיד אלחרומי,הרשימה המשותפת
יוסף ג`בארין,הרשימה המשותפת
מסעוד גנאים,הרשימה המשותפת
חנין זועבי,הרשימה המשותפת
ג`מאל זחאלקה,הרשימה המשותפת
עבד אלחכים חאג` יחיא ,הרשימה המשותפת
דב חנין,הרשימה המשותפת
אחמד טיבי,הרשימה המשותפת
איימן עודה,הרשימה המשותפת
עאידה תומא סלימאן,הרשימה המשותפת
יוסף עטאונה,הרשימה המשותפת
אבראהים חג'אזי,הרשימה המשותפת
אוסאמה סעדי,הרשימה המשותפת
עבדאללה אבו מערוף,הרשימה המשותפת
באסל גטאס,הרשימה המשותפת
ואאל יונס,הרשימה המשותפת
ינון אזולאי,ש"ס
יואב בן-צור,ש"ס
יצחק וקנין,ש"ס
יצחק כהן,ש"ס
מיכאל  מלכיאלי,ש"ס
יעקב מרגי,ש"ס
משולם נהרי,ש"ס
דן סידה ,ש"ס
יגאל  גואטה,ש"ס
אריה מכלוף דרעי,ש"ס
משולם נהרי,ש"ס
דוד אזולאי,ש"ס
אורלי לוי-אבקסיס,אורלי לוי-אבקסיס
ישראל אייכלר,יהדות התורה
יעקב אשר,יהדות התורה
משה גפני,יהדות התורה
יעקב ליצמן,יהדות התורה
מנחם אליעזר מוזס,יהדות התורה
אורי מקלב,יהדות התורה
מאיר פרוש,יהדות התורה
קארין אלהרר,יש עתיד
יעל גרמן,יש עתיד
חיים ילין,יש עתיד
מאיר כהן,יש עתיד
עליזה לביא,יש עתיד
מיקי לוי,יש עתיד
יאיר לפיד,יש עתיד
יואל רזבוזוב,יש עתיד
אלעזר שטרן,יש עתיד
עפר שלח,יש עתיד
פנינה תמנו,יש עתיד
שי פירון,יש עתיד
יעקב פרי,יש עתיד
רוברט אילטוב,ישראל ביתנו
אביגדור ליברמן,ישראל ביתנו
סופה לנדבר,ישראל ביתנו
חמד עמאר,ישראל ביתנו
עודד פורר,ישראל ביתנו
יוליה מלינובסקי,ישראל ביתנו
שרון גל,ישראל ביתנו
מיכאל אורן,כולנו
אלי אלאלוף,כולנו
מירב  בן-ארי,כולנו
יואב גלנט,כולנו
אכרם  חסון,כולנו
אלי כהן,כולנו
רחל עזריה,כולנו
רועי פולקמן,כולנו
טלי פלוסקוב,כולנו
יפעת שאשא ביטון,כולנו
משה כחלון,כולנו
אילן גילאון,מרצ
תמר זנדברג,מרצ
עיסאווי פריג`,מרצ
מיכל רוזין,מרצ
מוסי רז,מרצ
זהבה גלאון,מרצ
